2025-07-19 23:58:53.521963 - 🌐 NAT VNF started on port 9102
2025-07-20 00:00:00.500889 - [NAT] Rewrote source 34.120.237.76 → 192.168.0.1 to 10.0.2.15
2025-07-20 00:00:00.520402 - [NAT] Rewrote source 34.120.237.76 → 192.168.0.1 to 10.0.2.15
2025-07-20 00:00:00.532377 - [NAT] Rewrote source 10.0.2.15 → 192.168.0.1 to 34.120.237.76
2025-07-20 00:00:13.061062 - [NAT] Rewrote source 10.0.2.15 → 192.168.0.1 to 10.0.2.3
2025-07-20 00:00:13.105506 - [NAT] Rewrote source 10.0.2.3 → 192.168.0.1 to 10.0.2.15
2025-07-20 00:00:13.108687 - [NAT] Rewrote source 10.0.2.15 → 192.168.0.1 to 10.0.2.3
2025-07-20 00:00:13.231511 - [NAT] Rewrote source 10.0.2.3 → 192.168.0.1 to 10.0.2.15
2025-07-20 00:00:13.235531 - [NAT] Rewrote source 10.0.2.15 → 192.168.0.1 to 10.0.2.3
2025-07-20 00:00:13.285245 - [NAT] Rewrote source 10.0.2.3 → 192.168.0.1 to 10.0.2.15
2025-07-20 00:00:18.021556 - [NAT] Rewrote source 172.64.148.235 → 192.168.0.1 to 10.0.2.15
2025-07-20 00:00:18.024270 - [NAT] Rewrote source 10.0.2.15 → 192.168.0.1 to 172.64.148.235
2025-07-20 00:00:18.025870 - [NAT] Rewrote source 172.64.148.235 → 192.168.0.1 to 10.0.2.15
2025-07-20 00:00:24.361299 - [NAT] Rewrote source 10.0.2.15 → 192.168.0.1 to 76.223.31.44
2025-07-20 00:00:24.362371 - [NAT] Rewrote source 76.223.31.44 → 192.168.0.1 to 10.0.2.15
2025-07-20 00:00:28.466699 - [NAT] Rewrote source 10.0.2.15 → 192.168.0.1 to 20.189.173.7
2025-07-20 00:00:28.473590 - [NAT] Rewrote source 20.189.173.7 → 192.168.0.1 to 10.0.2.15
2025-07-20 00:00:36.191807 - [NAT] Rewrote source 10.0.2.15 → 192.168.0.1 to 34.36.137.203
2025-07-20 00:00:36.197409 - [NAT] Rewrote source 34.36.137.203 → 192.168.0.1 to 10.0.2.15
2025-07-20 00:00:36.211649 - [NAT] Rewrote source 34.36.137.203 → 192.168.0.1 to 10.0.2.15
2025-07-20 00:00:36.247461 - [NAT] Rewrote source 10.0.2.15 → 192.168.0.1 to 34.36.137.203
2025-07-20 00:00:38.015077 - [NAT] Rewrote source 172.64.148.235 → 192.168.0.1 to 10.0.2.15
2025-07-20 00:00:38.017837 - [NAT] Rewrote source 10.0.2.15 → 192.168.0.1 to 172.64.148.235
2025-07-20 00:00:38.019311 - [NAT] Rewrote source 172.64.148.235 → 192.168.0.1 to 10.0.2.15
2025-07-20 00:00:43.406532 - [NAT] Rewrote source 10.0.2.15 → 192.168.0.1 to 10.0.2.3
2025-07-20 00:00:43.408936 - [NAT] Rewrote source 10.0.2.15 → 192.168.0.1 to 10.0.2.3
2025-07-20 00:00:43.440955 - [NAT] Rewrote source 10.0.2.3 → 192.168.0.1 to 10.0.2.15
2025-07-20 00:00:43.444726 - [NAT] Rewrote source 10.0.2.3 → 192.168.0.1 to 10.0.2.15
2025-07-20 00:00:43.445394 - [NAT] Rewrote source 10.0.2.15 → 192.168.0.1 to 10.0.2.3
2025-07-20 00:00:43.460402 - [NAT] Rewrote source 10.0.2.3 → 192.168.0.1 to 10.0.2.15
2025-07-20 00:00:43.461002 - [NAT] Rewrote source 10.0.2.15 → 192.168.0.1 to 20.42.72.131
2025-07-20 00:00:43.497933 - [NAT] Rewrote source 20.42.72.131 → 192.168.0.1 to 10.0.2.15
2025-07-20 00:00:43.498834 - [NAT] Rewrote source 10.0.2.15 → 192.168.0.1 to 20.42.72.131
2025-07-20 00:00:43.499488 - [NAT] Rewrote source 10.0.2.15 → 192.168.0.1 to 20.42.72.131
2025-07-20 00:00:43.500230 - [NAT] Rewrote source 20.42.72.131 → 192.168.0.1 to 10.0.2.15
2025-07-20 00:00:43.603908 - [NAT] Rewrote source 20.42.72.131 → 192.168.0.1 to 10.0.2.15
2025-07-20 00:00:43.605643 - [NAT] Rewrote source 10.0.2.15 → 192.168.0.1 to 20.42.72.131
2025-07-20 00:00:43.609259 - [NAT] Rewrote source 10.0.2.15 → 192.168.0.1 to 20.42.72.131
2025-07-20 00:00:43.611047 - [NAT] Rewrote source 20.42.72.131 → 192.168.0.1 to 10.0.2.15
2025-07-20 00:00:43.654705 - [NAT] Rewrote source 20.42.72.131 → 192.168.0.1 to 10.0.2.15
2025-07-20 00:00:43.657235 - [NAT] Rewrote source 10.0.2.15 → 192.168.0.1 to 20.42.72.131
2025-07-20 00:00:43.659388 - [NAT] Rewrote source 20.42.72.131 → 192.168.0.1 to 10.0.2.15
2025-07-20 00:00:43.661906 - [NAT] Rewrote source 10.0.2.15 → 192.168.0.1 to 20.42.72.131
2025-07-20 00:00:43.663013 - [NAT] Rewrote source 20.42.72.131 → 192.168.0.1 to 10.0.2.15
2025-07-20 00:00:43.663770 - [NAT] Rewrote source 20.42.72.131 → 192.168.0.1 to 10.0.2.15
2025-07-20 00:00:43.666348 - [NAT] Rewrote source 20.42.72.131 → 192.168.0.1 to 10.0.2.15
2025-07-20 00:00:43.696024 - [NAT] Rewrote source 20.42.72.131 → 192.168.0.1 to 10.0.2.15
2025-07-20 00:00:43.740913 - [NAT] Rewrote source 10.0.2.15 → 192.168.0.1 to 20.42.72.131
2025-07-20 00:00:44.035319 - [NAT] Rewrote source 20.42.72.131 → 192.168.0.1 to 10.0.2.15
2025-07-20 00:00:44.037663 - [NAT] Rewrote source 20.42.72.131 → 192.168.0.1 to 10.0.2.15
2025-07-20 00:00:44.038768 - [NAT] Rewrote source 10.0.2.15 → 192.168.0.1 to 20.42.72.131
2025-07-20 00:00:44.042769 - [NAT] Rewrote source 10.0.2.15 → 192.168.0.1 to 20.42.72.131
2025-07-20 00:00:44.043641 - [NAT] Rewrote source 10.0.2.15 → 192.168.0.1 to 20.42.72.131
2025-07-20 00:00:44.044191 - [NAT] Rewrote source 20.42.72.131 → 192.168.0.1 to 10.0.2.15
2025-07-20 00:00:44.044988 - [NAT] Rewrote source 20.42.72.131 → 192.168.0.1 to 10.0.2.15
2025-07-20 00:00:52.541853 - [NAT] Rewrote source 10.0.2.15 → 192.168.0.1 to 20.189.173.7
2025-07-20 00:00:52.548821 - [NAT] Rewrote source 10.0.2.15 → 192.168.0.1 to 10.0.2.3
2025-07-20 00:00:52.559967 - [NAT] Rewrote source 10.0.2.15 → 192.168.0.1 to 10.0.2.3
2025-07-20 00:00:52.562367 - [NAT] Rewrote source 20.189.173.7 → 192.168.0.1 to 10.0.2.15
2025-07-20 00:00:52.565614 - [NAT] Rewrote source 10.0.2.15 → 192.168.0.1 to 10.0.2.3
2025-07-20 00:00:52.566992 - [NAT] Rewrote source 10.0.2.15 → 192.168.0.1 to 20.189.173.7
2025-07-20 00:00:52.568886 - [NAT] Rewrote source 10.0.2.15 → 192.168.0.1 to 20.189.173.7
2025-07-20 00:00:52.571702 - [NAT] Rewrote source 20.189.173.7 → 192.168.0.1 to 10.0.2.15
2025-07-20 00:00:52.574596 - [NAT] Rewrote source 20.189.173.7 → 192.168.0.1 to 10.0.2.15
2025-07-20 00:00:52.579945 - [NAT] Rewrote source 20.189.173.7 → 192.168.0.1 to 10.0.2.15
2025-07-20 00:00:52.587924 - [NAT] Rewrote source 10.0.2.3 → 192.168.0.1 to 10.0.2.15
2025-07-20 00:00:52.600787 - [NAT] Rewrote source 10.0.2.3 → 192.168.0.1 to 10.0.2.15
2025-07-20 00:00:52.609515 - [NAT] Rewrote source 10.0.2.3 → 192.168.0.1 to 10.0.2.15
2025-07-20 00:00:52.678019 - [NAT] Rewrote source 20.189.173.7 → 192.168.0.1 to 10.0.2.15
2025-07-20 00:00:52.718351 - [NAT] Rewrote source 10.0.2.15 → 192.168.0.1 to 20.189.173.7
